time,Temperature,Humidity,WaterTemp
2025.7.1 0:00:00.343,29.89999962,51.5,30.5
2025.7.1 0:00:01.342,29.20000076,49.09999847,30.25
2025.7.1 0:00:02.346,29.20000076,54.40000153,30.25
2025.7.1 0:00:03.359,29.5,51.20000076,30.562
2025.7.1 0:00:04.349,29.29999924,50.20000076,30.437
2025.7.1 0:00:05.358,29.5,49.29999924,30.437
2025.7.1 0:00:06.353,29.70000076,46.70000076,30.312
2025.7.1 0:00:07.349,29.89999962,42.09999847,30.562
2025.7.1 0:00:08.356,29.70000076,44.59999847,30.625
2025.7.1 0:00:09.360,32.29999924,49.29999924,26
2025.7.1 0:00:10.359,32,48.90000153,26
2025.7.1 0:00:11.356,32.5,48.70000076,26.062
2025.7.1 0:00:12.353,32.59999847,49.40000153,26.062
2025.7.1 0:00:13.373,33.29999924,45.5,26.062
2025.7.1 0:00:14.359,31.79999924,47.40000153,26.125
2025.7.1 0:00:15.357,32.09999847,48.20000076,26.125
2025.7.1 0:00:16.366,31.10000038,50.09999847,26.187
2025.7.1 0:00:17.361,30.89999962,49.70000076,26.187
2025.7.1 0:00:18.364,30.60000038,51.59999847,26.187
2025.7.1 0:00:19.369,29.89999962,52.59999847,26.187
2025.7.1 0:00:20.367,29.5,54.79999924,26.125
2025.7.1 0:00:21.376,29,55.90000153,26.125
2025.7.1 0:00:22.367,29,59.29999924,26.125
2025.7.1 0:00:23.376,28.89999962,59.20000076,26.062
2025.7.1 0:00:24.382,28.79999924,60.59999847,26
2025.7.1 0:00:25.377,29.20000076,61.70000076,26
2025.7.1 0:00:26.365,29,61.09999847,25.937
2025.7.1 0:00:27.384,29,58.59999847,25.937
2025.7.1 0:00:28.372,29.10000038,59.5,25.875
2025.7.1 0:00:29.378,28.79999924,60,25.875
2025.7.1 0:00:30.379,28.79999924,59.29999924,25.875
2025.7.1 0:00:31.379,28.5,59.59999847,25.812
2025.7.1 0:00:32.381,28.29999924,60.09999847,25.75
2025.7.1 0:00:33.389,28,61.70000076,25.75
2025.7.1 0:00:34.376,27.79999924,67.09999847,25.687
2025.7.1 0:00:35.374,27.70000076,68.5,25.687
2025.7.1 0:00:36.383,27.70000076,69.69999695,25.625
2025.7.1 0:00:37.400,27.60000038,72.69999695,25.625
2025.7.1 0:00:38.396,27.5,72.40000153,25.562
