DATE,2018.02.21 10:56
Lot No,L820169      
Bar No,1
Result,NO GOOD
Defect H,9
Defect L,8
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
1,0,0.10,0.62,0.10,0.10,0.06,0.07,0.08,0.22,0.13,0.23,0.16,0.62,0,0
2,13,0.21,0.79,0.06,0.21,0.12,0.10,0.14,0.11,0.15,0.79,0.17,0.11,0,0
3,26,0.18,2.69,0.18,0.09,0.09,0.12,0.12,0.23,2.69,0.12,0.21,0.32,0,0
4,39,0.15,2.84,0.07,0.10,0.15,0.14,0.11,2.84,0.09,0.14,0.50,0.20,1,1
5,52,2.34,0.68,0.11,0.14,0.08,0.12,2.34,0.43,0.09,0.68,0.12,0.08,1,1
6,65,2.28,0.56,0.19,0.21,0.16,2.18,2.28,0.14,0.56,0.14,0.21,0.09,1,1
7,78,3.07,0.39,0.12,0.13,2.65,3.07,0.13,0.39,0.12,0.14,0.21,0.20,1,1
8,91,1.31,0.34,0.14,1.03,1.31,0.13,0.14,0.17,0.34,0.11,0.23,0.13,1,1
9,104,0.21,0.25,0.11,0.09,0.13,0.12,0.21,0.25,0.10,0.18,0.20,0.16,0,0
10,117,0.28,0.34,0.12,0.13,0.11,0.28,0.11,0.34,0.15,0.14,0.21,0.09,0,0
11,130,0.14,0.66,0.14,0.10,0.08,0.13,0.07,0.13,0.18,0.16,0.66,0.07,0,0
12,143,0.13,0.27,0.11,0.13,0.12,0.08,0.13,0.11,0.12,0.27,0.12,0.11,0,0
13,156,1.59,0.14,1.59,0.11,0.08,0.22,0.15,0.11,0.14,0.10,0.12,0.11,0,0
14,169,0.99,0.23,0.99,0.10,0.15,0.29,0.10,0.08,0.10,0.13,0.23,0.12,0,0
15,182,0.19,0.24,0.13,0.19,0.09,0.17,0.10,0.07,0.16,0.13,0.24,0.07,0,0
16,195,0.15,0.23,0.14,0.15,0.14,0.11,0.09,0.09,0.09,0.23,0.08,0.13,0,0
17,208,0.23,0.19,0.23,0.14,0.12,0.11,0.11,0.10,0.19,0.12,0.10,0.15,0,0
18,221,0.15,0.25,0.15,0.12,0.10,0.13,0.10,0.23,0.18,0.13,0.25,0.15,0,0
19,234,0.16,0.51,0.15,0.12,0.14,0.16,0.10,0.17,0.10,0.51,0.39,0.14,0,0
20,247,0.15,0.41,0.12,0.14,0.12,0.15,0.09,0.20,0.38,0.21,0.41,0.19,0,0
21,260,0.17,0.31,0.14,0.15,0.09,0.17,0.13,0.22,0.31,0.15,0.18,0.10,0,0
22,273,0.21,0.32,0.13,0.16,0.19,0.21,0.19,0.32,0.11,0.08,0.20,0.13,0,0
23,286,0.37,0.14,0.37,0.12,0.15,0.15,0.36,0.12,0.10,0.10,0.14,0.09,0,0
24,299,0.29,0.18,0.29,0.13,0.29,0.16,0.16,0.09,0.09,0.12,0.18,0.17,0,0
25,312,0.21,0.13,0.11,0.21,0.20,0.17,0.11,0.08,0.09,0.12,0.12,0.13,0,0
26,325,0.36,0.28,0.36,0.22,0.16,0.14,0.12,0.10,0.08,0.28,0.16,0.12,0,0
27,338,0.24,0.23,0.24,0.16,0.12,0.13,0.16,0.09,0.14,0.15,0.19,0.23,0,0
28,351,0.25,0.35,0.25,0.12,0.11,0.12,0.08,0.16,0.12,0.14,0.35,0.12,0,0
29,364,0.12,0.70,0.11,0.11,0.12,0.11,0.11,0.15,0.15,0.70,0.50,0.22,0,0
30,377,0.33,0.52,0.15,0.11,0.07,0.15,0.33,0.16,0.52,0.28,0.29,0.16,0,0
31,390,0.31,0.47,0.19,0.13,0.18,0.31,0.14,0.19,0.47,0.25,0.44,0.20,0,0
32,403,0.47,0.44,0.09,0.33,0.14,0.47,0.18,0.38,0.39,0.17,0.44,0.22,0,0
33,416,0.33,0.33,0.33,0.25,0.20,0.27,0.23,0.33,0.30,0.15,0.18,0.14,0,0
34,429,0.31,0.28,0.22,0.23,0.26,0.31,0.30,0.19,0.20,0.28,0.22,0.23,0,0
35,442,0.28,0.28,0.28,0.28,0.24,0.27,0.14,0.19,0.23,0.28,0.26,0.21,0,0
36,455,0.26,0.24,0.26,0.16,0.24,0.26,0.14,0.24,0.17,0.20,0.19,0.20,0,0
37,468,0.27,0.57,0.17,0.17,0.23,0.27,0.24,0.30,0.57,0.32,0.28,0.21,0,0
38,481,0.23,0.44,0.23,0.22,0.11,0.21,0.20,0.14,0.43,0.34,0.44,0.25,0,0
39,494,2.15,0.59,2.15,0.13,0.19,0.20,0.20,0.21,0.35,0.42,0.59,0.20,0,0
40,507,0.21,0.42,0.09,0.15,0.19,0.20,0.21,0.33,0.33,0.42,0.29,0.37,0,0
41,520,0.25,0.46,0.14,0.25,0.16,0.17,0.11,0.46,0.40,0.25,0.37,0.14,0,0
42,533,0.24,0.79,0.14,0.15,0.15,0.14,0.24,0.24,0.31,0.32,0.79,0.22,0,0
43,546,0.26,1.10,0.17,0.20,0.11,0.26,0.23,0.23,0.29,1.10,0.41,0.26,0,0
44,559,0.37,0.76,0.37,0.12,0.23,0.23,0.34,0.20,0.76,0.53,0.28,0.21,0,0
45,572,0.41,0.39,0.18,0.22,0.28,0.27,0.41,0.08,0.39,0.37,0.31,0.31,0,0
46,585,0.41,0.40,0.41,0.15,0.28,0.16,0.23,0.27,0.31,0.40,0.27,0.20,0,0
47,598,0.32,0.36,0.24,0.29,0.23,0.27,0.32,0.25,0.28,0.28,0.36,0.36,0,0
48,611,0.43,0.26,0.29,0.41,0.13,0.43,0.16,0.21,0.23,0.26,0.20,0.25,0,0
49,624,0.52,0.30,0.26,0.52,0.38,0.21,0.19,0.27,0.30,0.30,0.30,0.23,0,0
50,637,0.40,0.48,0.09,0.40,0.19,0.31,0.27,0.23,0.28,0.42,0.25,0.48,0,0
51,650,0.42,0.59,0.32,0.19,0.22,0.42,0.27,0.19,0.23,0.33,0.29,0.59,0,0
52,663,0.29,0.81,0.18,0.18,0.20,0.29,0.23,0.22,0.40,0.30,0.81,0.27,0,0
53,676,0.51,1.08,0.18,0.51,0.19,0.25,0.30,0.28,0.32,1.08,0.33,0.27,0,0
54,689,0.46,1.24,0.19,0.20,0.29,0.46,0.32,0.32,1.24,0.38,0.33,0.24,0,0
55,702,0.43,1.07,0.25,0.19,0.33,0.43,0.26,1.07,0.53,0.35,0.15,0.21,0,0
56,715,0.33,0.40,0.28,0.32,0.33,0.31,0.25,0.34,0.38,0.40,0.29,0.27,0,0
57,728,0.62,0.31,0.38,0.13,0.29,0.62,0.21,0.26,0.22,0.30,0.21,0.31,0,0
58,741,0.93,0.47,0.31,0.35,0.93,0.22,0.44,0.11,0.40,0.18,0.40,0.47,0,0
59,754,1.20,0.37,0.27,1.20,0.13,0.53,0.16,0.19,0.30,0.16,0.36,0.37,0,0
60,767,1.03,0.36,1.03,0.33,0.42,0.15,0.19,0.19,0.18,0.36,0.30,0.36,0,0
61,780,0.39,1.65,0.19,0.39,0.20,0.34,0.21,0.22,0.31,0.24,0.43,1.65,0,0
62,793,0.28,0.86,0.28,0.15,0.27,0.16,0.13,0.24,0.23,0.86,0.81,0.34,0,0
63,806,0.29,0.47,0.18,0.20,0.27,0.15,0.29,0.37,0.47,0.20,0.26,0.30,0,0
64,819,0.69,0.38,0.32,0.18,0.16,0.69,0.38,0.33,0.38,0.18,0.33,0.23,0,0
65,832,0.33,0.38,0.21,0.33,0.18,0.32,0.28,0.17,0.38,0.32,0.33,0.19,0,0
66,845,0.48,0.34,0.17,0.27,0.27,0.48,0.26,0.21,0.34,0.29,0.20,0.13,0,0
67,858,0.33,0.44,0.24,0.14,0.33,0.29,0.26,0.32,0.21,0.44,0.17,0.11,0,0
68,871,0.38,0.32,0.25,0.29,0.32,0.38,0.28,0.24,0.32,0.32,0.16,0.27,0,0
69,884,0.42,0.38,0.42,0.28,0.13,0.27,0.13,0.19,0.27,0.12,0.38,0.23,0,0
70,897,0.39,0.51,0.23,0.08,0.39,0.20,0.19,0.51,0.34,0.35,0.38,0.30,0,0
