No,Point,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5
1,0.0,0.1,,,,,,,,,
2,13.0,0.06,0.1,,,,,,,,
3,26.0,0.18,0.21,0.06,,,,,,,
4,39.0,0.07,0.09,0.12,0.07,,,,,,
5,52.0,0.11,0.1,0.09,0.1,0.08,,,,,
6,65.0,0.19,0.14,0.15,0.12,0.14,0.22,,,,
7,78.0,0.12,0.21,0.08,0.14,0.12,0.11,0.13,,,
8,91.0,0.14,0.13,0.16,0.12,0.11,0.23,0.15,0.23,,
9,104.0,0.11,1.03,2.65,2.18,2.34,2.84,2.69,0.79,0.16,
10,117.0,0.12,0.09,1.31,3.07,2.28,0.43,0.09,0.12,0.17,0.62
11,130.0,0.14,0.13,0.13,0.13,0.13,0.14,0.09,0.14,0.21,0.11
12,143.0,0.11,0.1,0.11,0.12,0.14,0.39,0.56,0.68,0.5,0.32
13,156.0,1.59,0.13,0.08,0.28,0.21,0.17,0.12,0.14,0.12,0.2
14,169.0,0.99,0.11,0.12,0.13,0.11,0.25,0.34,0.14,0.21,0.08
15,182.0,0.13,0.1,0.08,0.08,0.07,0.34,0.1,0.11,0.21,0.09
16,195.0,0.14,0.19,0.15,0.22,0.13,0.13,0.15,0.18,0.23,0.2
17,208.0,0.23,0.15,0.09,0.29,0.15,0.11,0.18,0.14,0.2,0.13
18,221.0,0.15,0.14,0.14,0.17,0.1,0.11,0.12,0.16,0.21,0.16
19,234.0,0.15,0.12,0.12,0.11,0.1,0.08,0.14,0.27,0.66,0.09
20,247.0,0.12,0.12,0.1,0.11,0.09,0.07,0.1,0.1,0.12,0.07
21,260.0,0.14,0.14,0.14,0.13,0.11,0.09,0.16,0.13,0.12,0.11
22,273.0,0.13,0.15,0.12,0.16,0.1,0.1,0.09,0.13,0.23,0.11
23,286.0,0.37,0.16,0.09,0.15,0.1,0.23,0.19,0.23,0.24,0.12
24,299.0,0.29,0.12,0.19,0.17,0.09,0.17,0.18,0.12,0.08,0.07
25,312.0,0.11,0.13,0.15,0.21,0.13,0.2,0.1,0.13,0.1,0.13
26,325.0,0.36,0.21,0.29,0.15,0.19,0.22,0.38,0.51,0.25,0.15
27,338.0,0.24,0.22,0.2,0.16,0.36,0.32,0.31,0.21,0.39,0.15
28,351.0,0.25,0.16,0.16,0.17,0.16,0.12,0.11,0.15,0.41,0.14
29,364.0,0.11,0.12,0.12,0.14,0.11,0.09,0.1,0.08,0.18,0.19
30,377.0,0.15,0.11,0.11,0.13,0.12,0.08,0.09,0.1,0.2,0.1
31,390.0,0.19,0.11,0.12,0.12,0.16,0.1,0.09,0.12,0.14,0.13
32,403.0,0.09,0.13,0.07,0.11,0.08,0.09,0.08,0.12,0.18,0.09
33,416.0,0.33,0.33,0.18,0.15,0.11,0.16,0.14,0.28,0.12,0.17
34,429.0,0.22,0.25,0.14,0.31,0.33,0.15,0.12,0.15,0.16,0.13
35,442.0,0.28,0.23,0.2,0.47,0.14,0.16,0.15,0.14,0.19,0.12
36,455.0,0.26,0.28,0.26,0.27,0.18,0.19,0.52,0.7,0.35,0.23
37,468.0,0.17,0.16,0.24,0.31,0.23,0.38,0.47,0.28,0.5,0.12
38,481.0,0.23,0.17,0.24,0.27,0.3,0.33,0.39,0.25,0.29,0.22
39,494.0,2.15,0.22,0.23,0.26,0.14,0.19,0.3,0.17,0.44,0.16
40,507.0,0.09,0.13,0.11,0.27,0.14,0.19,0.2,0.15,0.44,0.2
41,520.0,0.14,0.15,0.19,0.21,0.24,0.24,0.23,0.28,0.18,0.22
42,533.0,0.14,0.25,0.19,0.2,0.2,0.3,0.17,0.28,0.22,0.14
43,546.0,0.17,0.15,0.16,0.2,0.2,0.14,0.57,0.2,0.26,0.23
44,559.0,0.37,0.2,0.15,0.17,0.21,0.21,0.43,0.32,0.19,0.21
45,572.0,0.18,0.12,0.11,0.14,0.11,0.33,0.35,0.34,0.28,0.2
46,585.0,0.41,0.22,0.23,0.26,0.24,0.46,0.33,0.42,0.44,0.21
47,598.0,0.24,0.15,0.28,0.23,0.23,0.24,0.4,0.42,0.59,0.25
48,611.0,0.29,0.29,0.28,0.27,0.34,0.23,0.31,0.25,0.29,0.2
49,624.0,0.26,0.41,0.23,0.16,0.41,0.2,0.29,0.32,0.37,0.37
50,637.0,0.09,0.52,0.13,0.27,0.23,0.08,0.76,1.1,0.79,0.14
51,650.0,0.32,0.4,0.38,0.43,0.32,0.27,0.39,0.53,0.41,0.22
52,663.0,0.18,0.19,0.19,0.21,0.16,0.25,0.31,0.37,0.28,0.26
53,676.0,0.18,0.18,0.22,0.31,0.19,0.21,0.28,0.4,0.31,0.21
54,689.0,0.19,0.51,0.2,0.42,0.27,0.27,0.23,0.28,0.27,0.31
55,702.0,0.25,0.2,0.19,0.29,0.27,0.23,0.3,0.26,0.36,0.2
56,715.0,0.28,0.19,0.29,0.25,0.23,0.19,0.28,0.3,0.2,0.36
57,728.0,0.38,0.32,0.33,0.46,0.3,0.22,0.23,0.42,0.3,0.25
