No,Point,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5
1,0.0,0.08,,,,,,,,,
2,13.0,0.1,0.11,,,,,,,,
3,26.0,0.1,0.1,0.09,,,,,,,
4,39.0,0.13,0.19,0.11,0.16,,,,,,
5,52.0,0.15,0.15,0.11,0.08,0.09,,,,,
6,65.0,0.19,0.08,0.08,0.14,0.07,0.11,,,,
7,78.0,0.15,0.11,0.12,0.14,0.12,0.15,0.12,,,
8,91.0,0.19,0.15,0.13,0.16,0.11,0.13,0.14,0.13,,
9,104.0,0.24,0.3,0.17,0.16,0.12,0.14,0.17,0.15,0.24,
10,117.0,0.07,0.1,0.07,0.14,0.1,0.15,0.09,0.09,0.15,0.11
11,130.0,0.08,0.27,0.12,0.11,0.08,0.73,2.08,1.62,0.15,0.1
12,143.0,0.1,0.12,0.13,0.12,0.08,0.13,0.14,0.24,0.32,0.22
13,156.0,0.09,0.12,0.14,0.08,0.1,0.08,0.13,0.13,0.24,0.15
14,169.0,0.29,0.16,0.19,0.18,0.1,0.12,0.22,0.27,0.13,0.13
15,182.0,0.33,0.16,0.18,0.11,0.12,0.1,0.11,0.16,0.17,0.08
16,195.0,0.07,0.1,0.07,0.07,0.11,0.08,0.11,0.09,0.13,0.08
17,208.0,0.16,0.14,0.14,0.09,0.11,0.12,0.12,0.16,0.24,0.11
18,221.0,0.12,0.22,0.14,0.21,0.16,0.15,0.16,0.2,0.24,0.15
19,234.0,0.19,0.23,0.1,0.11,0.11,0.19,0.11,0.13,0.14,0.18
20,247.0,0.93,1.07,0.7,0.09,0.11,0.09,0.1,0.12,0.1,0.06
21,260.0,3.87,3.89,1.45,2.77,3.81,3.39,3.22,1.24,0.07,0.06
22,273.0,0.13,0.06,0.07,0.14,0.11,0.11,0.09,0.15,0.19,0.24
23,286.0,0.36,0.24,0.15,0.1,0.11,0.15,0.1,0.15,0.37,0.14
24,299.0,0.11,0.18,0.18,0.11,0.1,0.11,0.26,0.16,0.22,0.12
25,312.0,0.11,0.46,0.13,0.22,0.08,0.19,0.24,0.22,0.25,0.15
26,325.0,0.08,0.11,0.09,0.08,0.08,0.08,0.09,0.07,0.11,0.3
27,338.0,0.08,0.19,0.06,0.11,0.06,0.13,0.24,0.14,0.19,0.13
28,351.0,0.13,0.2,0.22,0.14,0.18,0.19,0.24,0.18,0.26,0.13
29,364.0,0.15,0.27,0.23,0.21,0.16,0.17,0.16,0.21,0.22,0.23
30,377.0,0.14,0.09,0.13,0.09,0.1,0.09,0.08,0.13,0.22,0.3
31,390.0,2.54,2.55,2.32,0.11,0.08,0.09,0.1,1.33,3.36,4.13
32,403.0,0.12,0.14,0.21,0.16,0.14,0.19,0.13,0.17,0.23,0.2
33,416.0,0.09,0.31,0.09,0.1,0.08,0.08,0.15,0.08,0.09,0.12
34,429.0,0.17,0.11,0.13,0.11,0.13,0.24,0.13,0.12,0.11,0.07
35,442.0,0.24,0.16,0.23,0.27,0.15,0.19,0.23,0.29,0.21,0.14
36,455.0,0.26,0.08,0.07,0.11,0.07,0.24,0.1,0.09,0.1,0.11
37,468.0,0.18,0.17,0.13,0.11,0.12,0.08,0.12,0.12,0.14,0.12
38,481.0,0.72,0.21,0.27,0.16,0.19,0.22,0.37,0.3,0.35,0.19
39,494.0,0.21,0.28,0.2,0.2,0.19,0.19,0.09,0.35,0.27,0.17
40,507.0,0.21,0.34,0.35,0.27,0.31,0.18,0.13,0.21,0.32,0.17
41,520.0,1.54,1.35,1.38,0.15,0.18,0.09,0.09,0.16,2.76,3.13
42,533.0,0.14,0.13,0.31,0.23,0.19,0.12,0.13,0.11,0.18,0.1
