feature,normal_min,normal_max,normal_mean,normal_std,defect_min,defect_max,defect_mean,defect_std,lower_bound,upper_bound,normal_outliers,defect_outliers
qcp_105,0.0488551490459364,1.0,0.5143125686155392,0.15649255846021756,0.0661428297827282,0.903120691953875,0.48078252046051767,0.14890514220393467,0.07302792168278188,0.9585400561885189,2,1
qcp_078,0.0938684216928234,0.9388466284341755,0.5033705912720764,0.1459292276953591,0.082609419413227,0.8375598127830826,0.475627989113285,0.1477439543315754,0.11199150994986012,0.8931396245359737,7,2
qcp_123,0.0672871318655516,0.963798863837112,0.5069986532441817,0.14917669500063382,0.1566122456718333,0.9476036759490613,0.5334254771586673,0.15143655184297164,0.09724051483962043,0.9058374526906823,7,2
qcp_109,0.0947455456096169,1.0,0.5083366104820785,0.14940063505548457,0.0056658230049037,0.8617726672607837,0.4824039692609587,0.14006511847720796,0.12033435213832583,0.8945057308178523,8,1
qcp_072,0.0535951288985713,0.9447276994674708,0.50488177486059,0.15572955687888618,0.0811087258501598,0.8918657800853497,0.47853434750783325,0.14652560397985562,0.06590076848466697,0.9501861114358147,1,0
qcp_016,0.0326051965806927,0.9823061294319247,0.5074804323677979,0.14785707080412727,0.0,0.904706068522614,0.4828849992977202,0.15152290878083036,0.098938380953347,0.9138727678338172,7,1
qcp_144,0.1129518468764823,0.9279718005686606,0.5029319825005639,0.1437906630656343,0.0579909866215354,0.850534402415088,0.48049992894991117,0.15625896913387743,0.10425565462516101,0.900995584019439,2,1
qcp_002,0.04162392179536,1.0,0.4924070370860288,0.15036225731204667,0.1237599929646549,0.9311124047014868,0.5149274578443814,0.1436091998594018,0.09809491058806702,0.8821446333782256,10,2
qcp_149,0.0335916281463808,1.0,0.49401835088590085,0.15070226117183663,0.0599847913391716,0.8635311878840681,0.5153013353916874,0.15858610292175984,0.08565287322815651,0.9003379420360305,4,1
qcp_045,0.0364196251269428,0.9737110139278436,0.4907798945463495,0.1447176128681566,0.0374034190295615,0.8827806159124997,0.5111307647835454,0.15228865712301734,0.109838835104621,0.8692074373422561,3,6
