feature,normal_mean,defect_mean,difference,p_value,significant
qcp_105,0.5143125686155392,0.48078252046051767,-0.03353004815502153,0.0027088521176394874,True
qcp_078,0.5033705912720764,0.475627989113285,-0.027742602158791374,0.010947769022877545,True
qcp_123,0.5069986532441817,0.5334254771586673,0.026426823914485587,0.01791524879300268,True
qcp_072,0.50488177486059,0.47853434750783325,-0.026347427352756803,0.016754521600073527,True
qcp_109,0.5083366104820785,0.4824039692609587,-0.025932641221119768,0.013889212461339897,True
qcp_016,0.5074804323677979,0.4828849992977202,-0.02459543307007772,0.02724097782125824,True
qcp_002,0.4924070370860288,0.5149274578443814,0.022520420758352644,0.036071430163541016,True
qcp_144,0.5029319825005639,0.48049992894991117,-0.022432053550652753,0.047658928737580035,True
qcp_149,0.49401835088590085,0.5153013353916874,0.021282984505786584,0.06596425652932592,False
qcp_029,0.4967776968566955,0.5175538206567538,0.020776123800058333,0.05615046255440113,False
qcp_041,0.49488720204618586,0.5155726806408996,0.020685478594713702,0.06548692786602789,False
qcp_045,0.4907798945463495,0.5111307647835454,0.02035087023719584,0.06711908800010163,False
qcp_093,0.5024297834279122,0.4831481202899882,-0.01928166313792401,0.08020403696404393,False
qcp_040,0.4917045451208234,0.5107302605835365,0.019025715462713144,0.08416672750171936,False
qcp_075,0.5137557575242953,0.4950024848288207,-0.018753272695474554,0.10913275740709764,False
qcp_012,0.4988207614280501,0.5170478236918686,0.01822706226381854,0.09718511029868883,False
qcp_022,0.5061802418597309,0.48870377193689,-0.017476469922840854,0.10060700248903139,False
qcp_038,0.5023293622239188,0.48499278890003283,-0.01733657332388594,0.1261224373216424,False
qcp_026,0.5005148065560879,0.5175434632675486,0.0170286567114607,0.1248511367981149,False
qcp_044,0.5021574251461264,0.48545037439399835,-0.016707050752128028,0.16163535213479072,False
qcp_128,0.5034658777854346,0.48732356654343145,-0.01614231124200316,0.16385473181849552,False
qcp_096,0.4910372409125965,0.5070435674323466,0.01600632651975009,0.152106280669711,False
qcp_113,0.5003658966231421,0.48452842505612764,-0.015837471567014483,0.17825822904563937,False
qcp_047,0.4957174236759679,0.5115017050524305,0.01578428137646265,0.15360112206278334,False
qcp_174,0.49724761040468657,0.48179888172291935,-0.015448728681767221,0.15265756761103277,False
qcp_120,0.49801772942937794,0.5132734427931503,0.015255713363772405,0.1620807026906425,False
qcp_118,0.49781999930478193,0.5129230409613168,0.015103041656534866,0.14376920621646033,False
qcp_085,0.5006090219333444,0.48585862355059883,-0.014750398382745611,0.19895527340525593,False
qcp_015,0.5010402950890281,0.4863919876839983,-0.01464830740502987,0.2015480610449999,False
qcp_155,0.5107979474184502,0.5249515797434274,0.014153632324977239,0.2177561106315177,False
qcp_117,0.509106528095358,0.49529497060915784,-0.01381155748620011,0.22704063204544914,False
qcp_171,0.49309522044255305,0.5067139732171911,0.013618752774638088,0.2247305253692582,False
qcp_154,0.5005287157681029,0.51411719346608,0.013588477697977108,0.22278838196815548,False
qcp_071,0.49664441126322806,0.4831222760322346,-0.013522135230993437,0.21669741686268146,False
qcp_141,0.5038636564734698,0.4903665623036221,-0.013497094169847679,0.21586147172588374,False
qcp_083,0.5091779287479054,0.49577819907833,-0.013399729669575366,0.23569188815569111,False
qcp_162,0.4930311115336974,0.5064216765481264,0.013390565014429034,0.2661741545574573,False
qcp_098,0.5026585481578539,0.5159042361418005,0.013245687983946541,0.22161628667192382,False
qcp_100,0.48210420464331666,0.49525947534167053,0.013155270698353871,0.23765678011930072,False
qcp_090,0.49476475382448104,0.5077818650546762,0.01301711123019511,0.2376472221277622,False
qcp_175,0.5076135934751476,0.49514821953187643,-0.01246537394327113,0.2434218803292531,False
qcp_034,0.5009104851772398,0.4884703211688975,-0.012440164008342303,0.29438795156443665,False
qcp_159,0.49917408772780847,0.5115559902867155,0.012381902558907032,0.2638529641856737,False
qcp_116,0.48740818977859623,0.4997671109405389,0.012358921161942649,0.27629411926820613,False
qcp_067,0.49378662180818345,0.5058792632051745,0.012092641396991066,0.25387141887339226,False
qcp_077,0.4965953411929718,0.48453836804592104,-0.012056973147050731,0.25273400443439953,False
qcp_032,0.5029099642440595,0.4910751058561542,-0.011834858387905323,0.2837380243824245,False
qcp_110,0.49768983030946795,0.509432595028608,0.011742764719140097,0.29832309328663514,False
qcp_151,0.49021398112349995,0.5017773440149171,0.011563362891417184,0.2969134466821858,False
qcp_066,0.4920931831267003,0.5036421721271743,0.01154898900047402,0.29344584448017763,False
qcp_023,0.5096295880040642,0.49809965414492563,-0.011529933859138586,0.2898220730520983,False
qcp_089,0.4869003157916724,0.4983392521191523,0.011438936327479887,0.2837687888820981,False
qcp_035,0.5062357204734798,0.4949077439691073,-0.01132797650437245,0.29529001738647825,False
qcp_095,0.49318974515541325,0.48192542921650117,-0.011264315938912084,0.308181289982167,False
qcp_018,0.5044038686435102,0.4932233165135189,-0.01118055212999125,0.3000141735542516,False
qcp_074,0.4952597659265506,0.5061835572668787,0.010923791340328115,0.32721091502703636,False
qcp_147,0.5025135513853877,0.5132881036410781,0.010774552255690462,0.3404372850928642,False
qcp_146,0.5034782378505506,0.4928823145956586,-0.010595923254891948,0.346454324980763,False
qcp_094,0.5033363078780538,0.5139081111797431,0.010571803301689275,0.3179948696713292,False
qcp_073,0.49051863611014457,0.5010145341761739,0.010495898066029352,0.33790197161591995,False
qcp_024,0.4962712512220023,0.5067660450192698,0.010494793797267532,0.3254345349035186,False
qcp_019,0.5056212911925007,0.4953101542703708,-0.010311136922129871,0.3628794713223893,False
qcp_048,0.4989566849123719,0.4886809897999316,-0.010275695112440308,0.33468881183351906,False
qcp_051,0.5017486948586043,0.5118269172933828,0.010078222434778517,0.37283518346483036,False
qcp_037,0.5015643401547385,0.4915582895682194,-0.0100060505865191,0.37444566243730126,False
qcp_115,0.5100580643382864,0.5200596759894763,0.010001611651189957,0.3552979152436202,False
qcp_056,0.5140123502504425,0.504096179562744,-0.009916170687698456,0.36342529438657756,False
qcp_133,0.5047686684599295,0.4949593482065569,-0.009809320253372611,0.3983106768280362,False
qcp_136,0.49955082587844557,0.5093013651778262,0.009750539299380634,0.3639635056766317,False
qcp_011,0.49962295230380904,0.48987521042657967,-0.009747741877229377,0.381355395604572,False
qcp_013,0.49762320259546533,0.5072728705552649,0.009649667959799602,0.40088006943354126,False
qcp_157,0.5027346365523685,0.5123649265009189,0.009630289948550419,0.35333962503489746,False
qcp_158,0.505570204453197,0.5151787594020866,0.00960855494888957,0.37523344830940586,False
