fpr,tpr,thresholds
0.0,0.0,inf
0.006802721088435374,0.0,0.60956013
0.013605442176870748,0.0,0.57245547
0.013605442176870748,0.02040816326530612,0.5683595
0.034013605442176874,0.02040816326530612,0.5307678
0.034013605442176874,0.04081632653061224,0.5291809
0.12244897959183673,0.04081632653061224,0.4674243
0.12244897959183673,0.061224489795918366,0.4669934
0.1360544217687075,0.061224489795918366,0.4664647
0.1360544217687075,0.10204081632653061,0.4552378
0.20408163265306123,0.10204081632653061,0.4250913
0.20408163265306123,0.12244897959183673,0.42444435
0.2108843537414966,0.12244897959183673,0.42304054
0.2108843537414966,0.14285714285714285,0.42079553
0.2789115646258503,0.14285714285714285,0.4027873
0.2789115646258503,0.16326530612244897,0.4013539
0.2857142857142857,0.16326530612244897,0.40095
0.2857142857142857,0.1836734693877551,0.39866224
0.2925170068027211,0.1836734693877551,0.3976738
0.2925170068027211,0.20408163265306123,0.3929323
0.30612244897959184,0.20408163265306123,0.39149666
0.30612244897959184,0.22448979591836735,0.38690677
0.3333333333333333,0.22448979591836735,0.37513384
0.3333333333333333,0.24489795918367346,0.3693287
0.3673469387755102,0.24489795918367346,0.36046702
0.3673469387755102,0.2653061224489796,0.35688734
0.38095238095238093,0.2653061224489796,0.3548615
0.38095238095238093,0.2857142857142857,0.35423467
0.41496598639455784,0.2857142857142857,0.34800583
0.41496598639455784,0.32653061224489793,0.34360304
0.43537414965986393,0.32653061224489793,0.33903548
0.43537414965986393,0.3469387755102041,0.33541676
0.47619047619047616,0.3469387755102041,0.32473493
0.47619047619047616,0.46938775510204084,0.320851
0.5034013605442177,0.46938775510204084,0.31685486
0.5034013605442177,0.4897959183673469,0.31389183
0.5238095238095238,0.4897959183673469,0.30787158
0.5238095238095238,0.5510204081632653,0.30579817
0.5578231292517006,0.5510204081632653,0.29807723
0.5578231292517006,0.5714285714285714,0.29691246
0.5782312925170068,0.5714285714285714,0.2915082
0.5782312925170068,0.5918367346938775,0.29002672
0.5986394557823129,0.5918367346938775,0.28036085
0.5986394557823129,0.6122448979591837,0.278539
0.6122448979591837,0.6122448979591837,0.2770601
0.6122448979591837,0.6326530612244898,0.27666456
0.6598639455782312,0.6326530612244898,0.27021563
0.6598639455782312,0.6530612244897959,0.26970315
0.6666666666666666,0.6530612244897959,0.2656449
0.6666666666666666,0.673469387755102,0.26550066
0.7074829931972789,0.673469387755102,0.2577857
0.7074829931972789,0.7346938775510204,0.25365642
0.7278911564625851,0.7346938775510204,0.2515508
0.7278911564625851,0.7551020408163265,0.2514875
0.7551020408163265,0.7551020408163265,0.23922728
0.7551020408163265,0.7959183673469388,0.2364711
0.782312925170068,0.7959183673469388,0.23378918
0.782312925170068,0.8571428571428571,0.23146147
0.8367346938775511,0.8571428571428571,0.22023934
0.8367346938775511,0.8775510204081632,0.21975791
0.8503401360544217,0.8775510204081632,0.21781129
0.8503401360544217,0.8979591836734694,0.21438414
0.8707482993197279,0.8979591836734694,0.21073581
0.8707482993197279,0.9183673469387755,0.20828013
0.9115646258503401,0.9183673469387755,0.19467013
0.9115646258503401,0.9387755102040817,0.19344123
0.9319727891156463,0.9387755102040817,0.18251538
0.9319727891156463,0.9591836734693877,0.18069339
0.9387755102040817,0.9591836734693877,0.17989208
0.9387755102040817,0.9795918367346939,0.17974891
0.9931972789115646,0.9795918367346939,0.1433911
0.9931972789115646,1.0,0.142316
1.0,1.0,0.11334317
