date,lot_id,mixer_start,mixer_end,hopper_start,hopper_end,auger_start,auger_end,rhk_input_start,rhk_input_end,rhk_output_start,rhk_output_end,roc_start,roc_end,target_icp2
2022-01-02,220102001,2022-01-02 10:00:00,2022-01-02 10:10:00,2022-01-02 10:10:00,2022-01-02 11:51:00,2022-01-02 11:51:00,2022-01-02 12:50:00,2022-01-02 12:50:00,2022-01-02 13:18:00,2022-01-02 13:18:00,2022-01-02 13:46:00,2022-01-02 13:46:00,2022-01-02 14:24:00,0.4676
2022-01-02,220102002,2022-01-02 11:40:00,2022-01-02 11:49:00,2022-01-02 11:51:00,2022-01-02 13:32:00,2022-01-02 13:32:00,2022-01-02 14:33:00,2022-01-02 14:33:00,2022-01-02 15:02:00,2022-01-02 15:02:00,2022-01-02 15:33:00,2022-01-02 15:33:00,2022-01-02 16:13:00,0.6102
2022-01-02,220102003,2022-01-02 13:20:00,2022-01-02 13:30:00,2022-01-02 13:32:00,2022-01-02 15:07:00,2022-01-02 15:07:00,2022-01-02 16:05:00,2022-01-02 16:05:00,2022-01-02 16:34:00,2022-01-02 16:34:00,2022-01-02 17:02:00,2022-01-02 17:02:00,2022-01-02 17:43:00,0.5809
2022-01-02,220102004,2022-01-02 15:00:00,2022-01-02 15:10:00,2022-01-02 15:10:00,2022-01-02 16:54:00,2022-01-02 16:54:00,2022-01-02 17:54:00,2022-01-02 17:54:00,2022-01-02 18:25:00,2022-01-02 18:25:00,2022-01-02 18:53:00,2022-01-02 18:53:00,2022-01-02 19:32:00,0.564
2022-01-02,220102005,2022-01-02 16:40:00,2022-01-02 16:50:00,2022-01-02 16:54:00,2022-01-02 18:35:00,2022-01-02 18:35:00,2022-01-02 19:37:00,2022-01-02 19:37:00,2022-01-02 20:08:00,2022-01-02 20:08:00,2022-01-02 20:37:00,2022-01-02 20:37:00,2022-01-02 21:16:00,0.3472
2022-01-02,220102006,2022-01-02 18:20:00,2022-01-02 18:29:00,2022-01-02 18:35:00,2022-01-02 20:16:00,2022-01-02 20:16:00,2022-01-02 21:14:00,2022-01-02 21:14:00,2022-01-02 21:42:00,2022-01-02 21:42:00,2022-01-02 22:11:00,2022-01-02 22:11:00,2022-01-02 22:52:00,0.4127
2022-01-02,220102007,2022-01-02 20:00:00,2022-01-02 20:10:00,2022-01-02 20:16:00,2022-01-02 21:54:00,2022-01-02 21:54:00,2022-01-02 22:55:00,2022-01-02 22:55:00,2022-01-02 23:26:00,2022-01-02 23:26:00,2022-01-02 23:55:00,2022-01-02 23:55:00,2022-01-03 00:36:00,0.4121
2022-01-02,220102008,2022-01-02 21:40:00,2022-01-02 21:50:00,2022-01-02 21:54:00,2022-01-02 23:29:00,2022-01-02 23:29:00,2022-01-03 00:27:00,2022-01-03 00:27:00,2022-01-03 00:58:00,2022-01-03 00:58:00,2022-01-03 01:27:00,2022-01-03 01:27:00,2022-01-03 02:06:00,0.3407
2022-01-02,220102009,2022-01-02 23:20:00,2022-01-02 23:29:00,2022-01-02 23:29:00,2022-01-03 01:11:00,2022-01-03 01:11:00,2022-01-03 02:11:00,2022-01-03 02:11:00,2022-01-03 02:41:00,2022-01-03 02:41:00,2022-01-03 03:11:00,2022-01-03 03:11:00,2022-01-03 03:52:00,0.6372
2022-01-03,220103010,2022-01-03 01:00:00,2022-01-03 01:10:00,2022-01-03 01:11:00,2022-01-03 02:51:00,2022-01-03 02:51:00,2022-01-03 03:52:00,2022-01-03 03:52:00,2022-01-03 04:22:00,2022-01-03 04:22:00,2022-01-03 04:53:00,2022-01-03 04:53:00,2022-01-03 05:34:00,0.5546
